Nama Bahan Makanan,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,Beta-karoten,Karoten total,Vitamin B1,Vitamin B2,Niasin,Vitamin C,BDD,Mentah/Olahan,Kelompok Makanan
"Shortening,Spl Purpose For Cakes&Frostings,Soybn (Hydr)",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Shortening,Spl Purpose For Baking,Soybn (Hydr) Palm&Cttnsd",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Oat",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Fish Oil,Cod Liver",,902.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Fish Oil,Herring",,902.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Fish Oil,Menhaden",,902.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Fish Oil,Menhaden,Fully Hydr",,902.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Fish Oil,Salmon",,902.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Fish Oil,Sardine",,902.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Shortening,Multipurpose,Soybn (Hydr)&Palm (Hydr)",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Margarine-Like,Veg Oil-Butter Sprd,Tub,W/ Salt",,362.0,1.0,40.0,1.0,,,24.0,,0.04,786.0,36.0,,,,,,,,,0.1,,,
"Butter,Lt,Stk,W/Salt",,509.0,3.3,55.1,0.0,,,48.0,,1.09,450.0,71.0,,,,,,,,,0.0,,,
"Butter,Lt,Stk,Wo/Salt",,499.0,3.3,55.1,0.0,,,48.0,,1.09,36.0,71.0,,,,,,,,,0.0,,,
"Meat Drippings (Lard,Bf Tallow,Mutton Tallow)",,889.0,0.0,98.59,0.0,,,0.0,,0.0,545.0,0.0,,,,,,,,,0.0,,,
"Animal Fat,Bacon Grease",,897.0,0.0,99.5,0.0,,,0.0,,0.0,150.0,0.0,,,,,,,,,0.0,,,
"Margarine,Reg,80% Fat,Comp,Stk,W/ Salt",,717.0,0.16,80.71,0.7,,,3.0,,0.06,751.0,18.0,,,,,,,,,0.2,,,
"Margarine,Reg,80% Fat,Comp,Tub,W/ Salt",,713.0,0.22,80.17,0.75,,,3.0,,0.0,657.0,17.0,,,,,,,,,0.1,,,
"Margarine-Like,Veg Oil Sprd,60% Fat,Stk,W/ Salt",,537.0,0.12,60.39,0.69,,,21.0,,0.0,785.0,30.0,,,,,,,,,0.1,,,
"Margarine-Like,Veg Oil Sprd,60% Fat,Tub,W/ Salt",,533.0,0.17,59.81,0.86,,,21.0,,0.0,615.0,30.0,,,,,,,,,0.1,,,
"Margarine-Like,Veg Oil Sprd,60% Fat,Stick/Tub/Bottle,W/ Salt",,526.0,0.6,59.17,0.0,,,21.0,,0.0,700.0,30.0,,,,,,,,,0.1,,,
"Shortening,Veg,Household,Comp",,884.0,0.0,99.97,0.0,,,1.0,,0.07,4.0,0.0,,,,,,,,,0.0,,,
"Margarine,Reg,80% Fat,Comp,Stk,Wo/ Salt",,717.0,0.16,80.71,0.7,,,3.0,,0.06,2.0,18.0,,,,,,,,,0.2,,,
"Margarine,Reg,80% Fat,Comp,Tub,Wo/ Salt",,713.0,0.22,80.17,0.75,,,3.0,,0.0,28.0,17.0,,,,,,,,,0.1,,,
"Veg Oil Sprd,60% Fat,Stick/Tub/Bottle,Wo/ Salt",,533.0,0.17,59.81,0.86,,,21.0,,0.0,2.0,30.0,,,,,,,,,0.1,,,
"Margarine-Like,Veg Oil Sprd,Fat Free,Liq,W/ Salt",,43.0,1.5,3.0,2.5,,,38.0,,0.03,833.0,50.0,,,,,,,,,0.3,,,
"Margarine-Like Sprd W/ Yogurt,70% Fat,Stk,W/ Salt",,630.0,0.3,70.0,0.5,,,20.0,,0.01,590.0,25.0,,,,,,,,,0.1,,,
"Margarine-Like Sprd W/ Yogurt,Approx 40% Fat,Tub,W/ Salt",,330.0,2.0,35.0,2.0,,,50.0,,0.02,630.0,64.0,,,,,,,,,0.2,,,
"Margarine,80% Fat,Stk,Incl Reg & Hydr Corn & Soybn Oils",,717.0,0.16,80.71,0.7,,,3.0,,0.12,654.0,18.0,,,,,,,,,,,,
"Margarine, Veg Oil Sprd,70% Fat,Soybn & Part Hydr Soybn,Stk",,628.0,0.26,70.22,1.53,,,7.0,,0.12,700.0,46.0,,,,,,,,,,,,
"Margarine Sprd,Approx 48% Fat,Tub",,424.0,0.2,47.53,0.86,,,4.0,,0.21,646.0,36.0,,,,,,,,,0.0,,,
"Margarine-Like,Veg Oil Sprd,Fat-Free,Tub",,44.0,0.1,3.04,4.34,,,8.0,,0.08,580.0,36.0,,,,,,,,,0.0,,,
"Margarine-Like,Veg Oil Sprd,20% Fat,W/ Salt",,175.0,0.0,19.5,0.4,,,0.0,,0.0,733.0,25.0,,,,,,,,,0.0,,,
"Margarine-Like,Veg Oil Sprd,20% Fat,Wo/ Salt",,175.0,0.0,19.5,0.4,,,0.0,,0.0,0.0,25.0,,,,,,,,,0.0,,,
"Salad Drsng,1000 Island Drsng,Fat-Free",,132.0,0.55,1.45,29.27,,,11.0,,0.28,788.0,122.0,,,,,,,,,0.0,,,
"Salad Drsng,Italian Drsng,Fat-Free",,47.0,0.97,0.87,8.75,,,30.0,,0.4,1129.0,102.0,,,,,,,,,0.4,,,
"Salad Drsng,Ranch Drsng,Fat-Free",,119.0,0.25,1.92,26.51,,,50.0,,1.05,897.0,111.0,,,,,,,,,0.0,,,
"Salad Drsng,Ranch Drsng,Comm,Reg",,484.0,1.03,51.39,6.69,,,31.0,,0.62,1094.0,62.0,,,,,,,,,3.4,,,
"Salad Drsng,Ranch Drsng,Red Fat",,196.0,1.25,12.42,21.33,,,40.0,,0.69,1120.0,132.0,,,,,,,,,0.6,,,
"Salad Drsng,Mayo,Lt",,324.0,0.88,33.09,8.2,,,8.0,,0.32,673.0,40.0,,,,,,,,,0.0,,,
"Oil,Industrial,Mid-Oleic,Sunflower",,884.0,0.0,100.0,0.0,,,0.0,,0.03,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Canola W/ Antifoaming Agent",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Canola For Salads,Woks & Lt Frying",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Indus,Canola (Part Hydrog) Oil For Deep Fat Frying",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Cocnt",,884.0,0.0,100.0,0.0,,,0.0,,0.04,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Soy (Part Hydr),For Popcorn & Flavoring Veg",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Shortening,Indus,Soy (Part Hydrog),Pourable Liq Fry",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Soy,Refined,For Woks & Lt Frying",,884.0,0.0,100.0,0.0,,,0.0,,0.02,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Soy (Part Hydr),For Non-Dairy Butter Flavor",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Soy ( Part Hydrogenated),Allpurp",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Soy (Part Hydr ) & Soy,Pourable Fry",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Indus,Soy (Part Hydrog) & Cttnsd,Tortilla Shortening",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Margarine-Like Shortening,Indus,Soy(Part  Hydr),Cttnsd,& Soy",,628.0,0.0,71.0,0.0,,,0.0,,0.0,864.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Palm Kernel,Confection Fat",,884.0,0.0,100.0,0.0,,,1.0,,0.29,6.0,2.0,,,,,,,,,0.0,,,
"Oil,Industrial,Palm Kernel (Hydrogenated),Confection Fat",,884.0,0.0,100.0,0.0,,,1.0,,0.15,6.0,1.0,,,,,,,,,0.0,,,
"Oil,Industrial,Palm Kernel (Hydrogenated),Confection Fat",,884.0,0.0,100.0,0.0,,,1.0,,0.15,6.0,1.0,,,,,,,,,0.0,,,
"Oil,Industrial,Cocnt,Confection Fat,Ice Crm Coatings",,884.0,0.0,100.0,0.0,,,2.0,,0.15,5.0,2.0,,,,,,,,,0.0,,,
"Oil,Industrial,Palm Kernel (Hydrog) For Whipped Toppings",,884.0,0.0,100.0,0.0,,,1.0,,0.15,6.0,2.0,,,,,,,,,0.0,,,
"Oil,Industrial,Cocnt (Hydrogenated),For Toppings & Whiteners",,880.0,0.0,99.5,0.0,,,1.0,,0.15,7.0,2.0,,,,,,,,,0.0,,,
"Oil,Industrial,Palm & Palm Kernel,Filling Fat (Non-Hydrog)",,880.0,0.0,99.5,0.0,,,1.0,,0.15,6.0,4.0,,,,,,,,,0.0,,,
"Oil,Industrial,Palm Kernel (Hydrogenated),Filling Fat",,884.0,0.0,100.0,0.0,,,2.0,,0.15,6.0,1.0,,,,,,,,,0.0,,,
"Oil,Industrial,Soy (Parthydr ),Palm, Icings & Fillings",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Margarine,Indus,Non-Dairy,Cttnsd,Soy Oil (Part Hydr )",,714.0,1.9,80.2,0.0,,,66.0,,0.0,879.0,94.0,,,,,,,,,0.4,,,
"Shortening,Industrial,Soy (Partially Hydr )&Corn For Frying",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Shortening,Indus,Soy (Part Hydr ) For Baking & Confections",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Margarine,Indus,Soy & Part Hydr Soy Oil,Baking,Sauces,Candy",,714.0,0.18,80.0,0.71,,,3.0,,0.12,886.0,18.0,,,,,,,,,,,,
"Usda Cmdty Fd,Oil,Veg,Soybn,Refined",,884.0,0.0,100.0,0.0,,,0.0,,0.02,0.0,0.0,,,,,,,,,0.0,,,
"Usda Cmdty Fd,Oil,Veg,Lo Saturated Fat",,884.0,0.0,100.0,0.0,,,0.0,,0.02,0.0,0.0,,,,,,,,,0.0,,,
"Margarine-Like Sprd,Smart Balance Reg Buttery Sprd",,583.0,0.14,64.63,0.14,,,,,,646.0,28.0,,,,,,,,,,,,
"Margarine-Like Sprd,Smart Balance Lt Buttery Sprd",,337.0,0.02,36.41,1.98,,,3.0,,0.0,580.0,32.0,,,,,,,,,,,,
"Margarine-Like Sprd,Smart Beat Super Lt Wo/ Saturated Fat",,158.0,0.0,17.1,0.0,,,,,,755.0,12.0,,,,,,,,,,,,
"Margarine-Like Sprd,Smart Beat Smart Squeeze",,47.0,0.0,2.1,7.1,,,,,,829.0,26.0,,,,,,,,,,,,
"Margarine-Like Sprd,Smart Balance Omega Plus Sprd",,605.0,0.13,70.95,0.16,,,,,,729.0,71.0,,,,,,,,,,,,
"Oil,Veg,Natreon Canola,Hi Stability,Non Trans,Hi Oleic (70%)",,884.0,0.0,100.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,,
"Oil,Pam Cooking Spray,Original",,792.0,0.26,78.69,20.69,,,0.0,,0.0,59.0,,,,,,,,,,0.0,,,
"Margarine,Margarine-Like Veg Oil Sprd,67-70% Fat,Tub",,606.0,0.07,68.29,0.59,,,,,,536.0,,,,,,,,,,,,,
"Margarine,80% Fat,Tub,Canola Harvest Soft Sprd",,730.0,0.41,80.32,1.39,,,,,,714.0,,,,,,,,,,,,,
"Oil,Cooking & Salad,Enova,80% Diglycerides",,884.0,0.0,100.0,0.0,,,,,,0.0,,,,,,,,,,,,,
"Salad Drsng,Honey Mustard Drsng,Red Cal",,207.0,0.98,10.0,29.27,,,67.0,,0.41,900.0,55.0,,,,,,,,,0.4,,,
"Margarine-Like Sprd,Benecol Lt Sprd",,357.0,0.0,38.71,5.71,,,4.0,,0.0,670.0,4.0,,,,,,,,,,,,
"Salad Drsng,Spray-Style Drsng,Assorted Flavors",,165.0,0.16,10.75,16.6,,,6.0,,0.18,1102.0,,,,,,,,,,0.7,,,
"Salad Drsng,Mayo,Lt,Smart Balance,Omega Plus Lt",,333.0,1.53,34.18,9.39,,,13.0,,0.31,848.0,63.0,,,,,,,,,0.0,,,
"Veg Oil Sprd,37% Fat,Unspec Oils,W/ Salt,W/ Added Vitamin D",,339.0,0.51,37.77,0.66,,,6.0,,0.02,589.0,34.0,,,,,,,,,0.1,,,
"Margarine,Reg,80% Fat,Comp,Stk,W/ Salt,W/ Added Vitamin D",,717.0,0.16,80.71,0.7,,,3.0,,0.06,751.0,18.0,,,,,,,,,0.2,,,
"Margarine,Reg,80% Fat,Comp,Tub,W/ Salt,W/ Added Vitamin D",,713.0,0.22,80.17,0.75,,,3.0,,0.0,657.0,17.0,,,,,,,,,0.1,,,
"Veg Oil Sprd,60% Fat,Stk,W/ Salt,W/ Added Vitamin D",,537.0,0.12,60.39,0.69,,,21.0,,0.0,785.0,30.0,,,,,,,,,0.1,,,
"Veg Oil Sprd,60% Fat,Tub,W/ Salt,W/ Added Vitamin D",,533.0,0.17,59.81,0.86,,,21.0,,0.0,785.0,30.0,,,,,,,,,0.1,,,
"Veg-Oil Sprd,Stick/Tub/Bottle,60% Fat,W/ Added Vitamin D",,535.0,0.6,59.17,0.0,,,21.0,,0.0,785.0,30.0,,,,,,,,,0.1,,,
"Margarine,Reg,80% Fat,Comp,Stk,Wo/ Salt,W/ Added Vitamin D",,717.0,0.16,80.71,0.7,,,3.0,,0.06,2.0,18.0,,,,,,,,,0.2,,,
"Veg Oil Sprd,60% Fat,Stick/Tub/Bottle,Wo/ Salt,W/Vit D",,542.0,0.17,59.81,0.86,,,21.0,,0.0,2.0,30.0,,,,,,,,,0.1,,,
"Oil,Industrial,Canola,Hi Oleic",,900.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Soy,Lo Linolenic",,900.0,0.0,100.0,0.0,,,0.0,,0.05,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Soy,Ultra Lo Linolenic",,884.0,0.0,100.0,0.0,,,0.0,,0.05,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Soy,Fully Hydr",,884.0,0.0,100.0,0.0,,,0.0,,0.05,0.0,0.0,,,,,,,,,0.0,,,
"Oil,Industrial,Cttnsd,Fully Hydr",,884.0,0.0,100.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,
"Salad Drsng,Honey Mustard,Reg",,464.0,0.87,40.83,23.33,,,12.0,,0.29,650.0,20.0,,,,,,,,,0.2,,,
"Salad Drsng,Poppyseed,Creamy",,399.0,0.92,33.33,24.53,,,59.0,,0.25,788.0,61.0,,,,,,,,,0.3,,,
"Salad Drsng,Caesar,Fat-Free",,131.0,1.47,0.23,30.73,,,33.0,,0.29,1265.0,48.0,,,,,,,,,0.1,,,
"Dressing,Honey Mustard,Fat-Free",,169.0,1.07,1.47,38.43,,,24.0,,0.36,1004.0,69.0,,,,,,,,,2.1,,,
"Oil,Flaxseed,Contains Added Sliced Flaxseed",,878.0,0.37,99.01,0.39,,,9.0,,0.34,6.0,31.0,,,,,,,,,,,,
"Chicken,Broilers Or Fryers,Meat&Skn&Giblets&Neck,Raw",,213.0,18.33,14.83,0.13,,,11.0,,1.31,70.0,189.0,,,,,,,,,2.6,,,
"Chicken,Broiler Or Fryer,Meat&Skn&Giblets&Neck,Fried,Batter",,291.0,22.84,17.53,9.03,,,21.0,,1.79,284.0,190.0,,,,,,,,,0.4,,,
"Chicken,Broilers Or Fryers,Meat&Skn&Giblets&Neck,Fried,Flr",,272.0,28.57,15.27,3.27,,,17.0,,1.99,86.0,237.0,,,,,,,,,0.5,,,
"Chicken,Broilers Or Fryers,Meat&Skn&Giblets&Neck,Rstd",,234.0,26.78,13.27,0.06,,,15.0,,1.66,79.0,212.0,,,,,,,,,0.5,,,
"Chicken,Broilers Or Fryers,Meat&Skn&Giblets&Neck,Stwd",,216.0,24.49,12.37,0.06,,,14.0,,1.53,66.0,163.0,,,,,,,,,0.5,,,
"Chicken,Broilers Or Fryers,Meat & Skn,Raw",,215.0,18.6,15.06,0.0,,,11.0,,0.9,70.0,189.0,,,,,,,,,1.6,,,
"Chicken,Broilers Or Fryers,Meat&Skn,Ckd,Fried,Batter",,289.0,22.54,17.35,9.42,,,21.0,,1.37,292.0,185.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Meat&Skn,Ckd,Fried,Flr",,269.0,28.56,14.92,3.15,,,17.0,,1.38,84.0,234.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Meat&Skn,Ckd,Rstd",,239.0,27.3,13.6,0.0,,,15.0,,1.26,82.0,223.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Meat&Skn,Ckd,Stwd",,219.0,24.68,12.56,0.0,,,13.0,,1.16,67.0,166.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Meat Only,Raw",,119.0,21.39,3.08,0.0,,,12.0,,0.89,77.0,229.0,,,,,,,,,2.3,,,
"Chicken,Broilers Or Fryers,Meat Only,Ckd,Fried",,219.0,30.57,9.12,1.69,,,17.0,,1.35,91.0,257.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Meat Only,Rstd",,190.0,28.93,7.41,0.0,,,15.0,,1.21,86.0,243.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Meat Only,Stwd",,177.0,27.29,6.71,0.0,,,14.0,,1.17,70.0,180.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Skn Only,Raw",,349.0,13.33,32.35,0.0,,,11.0,,1.08,63.0,103.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Skn Only,Ckd,Fried,Batter",,394.0,10.32,28.83,23.15,,,26.0,,1.43,581.0,75.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Skn Only,Ckd,Fried,Flr",,502.0,19.09,42.58,9.34,,,14.0,,1.52,53.0,125.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Skn Only,Ckd,Rstd",,454.0,20.36,40.68,0.0,,,14.0,,1.51,65.0,136.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Skn Only,Ckd,Stwd",,363.0,15.22,33.04,0.0,,,12.0,,1.13,56.0,117.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Giblets,Raw",,124.0,17.88,4.47,1.8,,,10.0,,5.86,77.0,228.0,,,,,,,,,16.2,,,
"Chicken,Broilers Or Fryers,Giblets,Ckd,Fried",,277.0,32.54,13.46,4.35,,,18.0,,10.32,113.0,330.0,,,,,,,,,8.7,,,
"Chicken,Broilers Or Fryers,Giblets,Ckd,Simmrd",,157.0,27.15,4.5,0.0,,,14.0,,7.04,67.0,224.0,,,,,,,,,12.5,,,
"Chicken,Gizzard,All Classes,Raw",,94.0,17.66,2.06,0.0,,,11.0,,2.49,69.0,237.0,,,,,,,,,3.7,,,
"Chicken,Gizzard,All Classes,Ckd,Simmrd",,154.0,30.39,2.68,0.0,,,17.0,,3.19,56.0,179.0,,,,,,,,,0.0,,,
"Chicken,Heart,All Classes,Raw",,153.0,15.55,9.33,0.71,,,12.0,,5.96,74.0,176.0,,,,,,,,,3.2,,,
"Chicken,Heart,All Classes,Ckd,Simmrd",,185.0,26.41,7.92,0.1,,,19.0,,9.03,48.0,132.0,,,,,,,,,1.8,,,
"Chicken,Liver,All Classes,Raw",,119.0,16.92,4.83,0.73,,,8.0,,8.99,71.0,230.0,,,,,,,,,17.9,,,
"Chicken,Liver,All Classes,Ckd,Simmrd",,167.0,24.46,6.51,0.87,,,11.0,,11.63,76.0,263.0,,,,,,,,,27.9,,,
"Chicken,Broilers Or Fryers,Lt Meat,Meat & Skn,Raw",,186.0,20.27,11.07,0.0,,,11.0,,0.79,65.0,204.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Lt Meat,Meat&Skn,Ckd,Fried,Batter",,277.0,23.55,15.44,9.5,,,20.0,,1.26,287.0,185.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Lt Meat,Meat&Skn,Ckd,Fried,Flr",,246.0,30.45,12.09,1.82,,,16.0,,1.21,77.0,239.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Lt Meat,Meat&Skn,Ckd,Rstd",,222.0,29.02,10.85,0.0,,,15.0,,1.14,75.0,227.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Lt Meat,Meat&Skn,Ckd,Stwd",,201.0,26.14,9.97,0.0,,,13.0,,0.98,63.0,167.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Dk Meat,Meat & Skn,Raw",,237.0,16.69,18.34,0.0,,,11.0,,0.98,73.0,178.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Dk Meat,Meat&Skn,Ckd,Fried,Batter",,298.0,21.85,18.64,9.38,,,21.0,,1.44,295.0,185.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Dk Meat,Meat&Skn,Ckd,Fried,Flr",,285.0,27.22,16.91,4.08,,,17.0,,1.5,89.0,230.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Dk Meat,Meat&Skn,Ckd,Rstd",,253.0,25.97,15.78,0.0,,,15.0,,1.36,87.0,220.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Dk Meat,Meat&Skn,Ckd,Stwd",,233.0,23.5,14.66,0.0,,,14.0,,1.31,70.0,166.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Lt Meat,Meat Only,Raw",,114.0,23.2,1.65,0.0,,,12.0,,0.73,68.0,239.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Lt Meat,Meat Only,Ckd,Fried",,192.0,32.82,5.54,0.42,,,16.0,,1.14,81.0,263.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Lt Meat,Meat Only,Ckd,Rstd",,173.0,30.91,4.51,0.0,,,15.0,,1.06,77.0,247.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Lt Meat,Meat Only,Ckd,Stwd",,159.0,28.88,3.99,0.0,,,13.0,,0.93,65.0,180.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Dk Meat,Meat Only,Raw",,125.0,20.08,4.31,0.0,,,12.0,,1.03,85.0,222.0,,,,,,,,,3.1,,,
"Chicken,Broilers Or Fryers,Dk Meat,Meat Only,Ckd,Fried",,239.0,28.99,11.62,2.59,,,18.0,,1.49,97.0,253.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Dk Meat,Meat Only,Ckd,Rstd",,205.0,27.37,9.73,0.0,,,15.0,,1.33,93.0,240.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Dk Meat,Meat Only,Ckd,Stwd",,192.0,25.97,8.98,0.0,,,14.0,,1.36,74.0,181.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Fat,Raw",,629.0,3.73,67.95,0.0,,,7.0,,0.7,32.0,64.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Back,Meat&Skn,Raw",,319.0,14.05,28.74,0.0,,,13.0,,0.94,64.0,144.0,,,,,,,,,1.6,,,
"Chicken,Broilers Or Fryers,Back,Meat&Skn,Ckd,Fried,Batter",,331.0,21.97,21.91,10.25,,,26.0,,1.49,317.0,180.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Back,Meat&Skn,Ckd,Fried,Flr",,331.0,27.79,20.74,6.5,,,24.0,,1.62,90.0,226.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Back,Meat&Skn,Ckd,Rstd",,300.0,25.95,20.97,0.0,,,21.0,,1.42,87.0,210.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Back,Meat&Skn,Ckd,Stwd",,258.0,22.18,18.14,0.0,,,18.0,,1.22,64.0,145.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Back,Meat Only,Raw",,137.0,19.56,5.92,0.0,,,17.0,,1.04,82.0,204.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Back,Meat Only,Ckd,Fried",,288.0,29.99,15.32,5.68,,,26.0,,1.65,99.0,251.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Back,Meat Only,Ckd,Rstd",,239.0,28.19,13.16,0.0,,,24.0,,1.39,96.0,237.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Back,Meat Only,Ckd,Stwd",,209.0,25.31,11.19,0.0,,,21.0,,1.27,67.0,158.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Breast,Meat&Skn,Raw",,172.0,20.85,9.25,0.0,,,11.0,,0.74,63.0,220.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Breast,Meat&Skn,Ckd,Fried,Batter",,260.0,24.84,13.2,8.99,,,20.0,,1.25,275.0,201.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Breast,Meat&Skn,Ckd,Fried,Flr",,222.0,31.84,8.87,1.64,,,16.0,,1.19,76.0,259.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Breast,Meat&Skn,Ckd,Rstd",,197.0,29.8,7.78,0.0,,,14.0,,1.07,71.0,245.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Breast,Meat&Skn,Ckd,Stwd",,184.0,27.39,7.42,0.0,,,13.0,,0.92,62.0,178.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Breast,Meat Only,Raw",,114.0,21.23,2.59,0.0,,,5.0,,0.37,116.0,370.0,,,,,,,,,1.2,,,
"Chicken,Broilers Or Fryers,Breast,Meat Only,Ckd,Fried",,187.0,33.44,4.71,0.51,,,16.0,,1.14,79.0,276.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Breast,Meat Only,Ckd,Rstd",,165.0,31.02,3.57,0.0,,,15.0,,1.04,74.0,256.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Breast,Meat Only,Ckd,Stwd",,151.0,28.98,3.03,0.0,,,13.0,,0.88,63.0,187.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Drumstk,Meat&Skn,Raw",,159.0,17.59,9.29,0.11,,,10.0,,0.63,104.0,223.0,,,,,,,,,0.0,,,
"Chicken,Broilers Or Fryers,Drumstk,Meat&Skn,Ckd,Fried,Batter",,268.0,21.95,15.75,8.28,,,17.0,,1.35,269.0,186.0,,,,,,,,,0.0,,,
